Bombardier Inc.,庞巴迪公司,Canada,1942,2147483647,AIRCRAFT,Introduce_Bombardier
McDonnell-Douglas Corporation,麦克唐纳・道格拉斯公司,United States,1967,1996,AIRCRAFT,Introduce_M-D-C
Embraer S.A.,巴西航空工业公司,Brazil,1969,2147483647,AIRCRAFT,Introduce_Embraer
ILyushin,伊留申航空联合体股份公司,Russia,1933,2006,AIRCRAFT,Introduce_ICB
UAC,联合航空制造公司,Russia,2006,2147483647,AIRCRAFT,Introduce_UAC
The Boeing Company,波音,United States,1916,2147483647,AIRCRAFT,Introduce_Boeing
Airbus Industries,空客,France,1970,2147483647,AIRCRAFT,Introduce_Airbus
Tupolev,图波列夫航空科技综合体,Russia,1922,2006,AIRCRAFT,Introduce_Tupolev
COMAC,中国商用飞机有限责任公司,China,2008,2147483647,AIRCRAFT,Inruoduce_COMAC
Avions de Transport Regional,ATR公司,France,1981,2147483647,AIRCRAFT,Inruoduce_ATR
Fokker Technologies,荷兰福克公司,Netherlands,1912,1996,AIRCRAFT,Inruoduce_Fokker
British Aerospace Corporation,英国宇航公司,United Kingdom,1963,2147483647,AIRCRAFT,Inruoduce_BAC